,text,emotion_label,stress_label
967,"negara emang suka gitu ya, ada isu satu yg gede, dia bikin kebijakan biar bikin pecah fokus. itu isu anak pak lurah dah ilang gegara ikn, ini isu wadas ilang lagi nih gegara jht cuma bisa dicairin pas usia 56 tahun. jago banget emang main caturnya heuheu, miris nasih rakyat",angry,0.96
968,chenle gamau di halu'in' gue saat itu kesel banget anjwingg kayak buat apa gitu loh bilang gituan heran gue kalau lo emg ga suka ya udah ga suka ngata2in ga ada yang maksa juga lo tu suka sama chenle itu hak lo but kalau ga suka ga usah hate emosi gue,angry,0.88
969,paling males banget dapet message yang suka ditarik2 iss masalah hidup lo apa sii?!,angry,0.9
970,"bener banget jaman sma dulu ada lgi temen yg suka gitu,mana dia bangga bgt abis nipu demi bantuan didepan gue padahal tinggalnya di komplek perumahan yg bagus. mau marahin tapi asyudahlah dianya juga gada kesadaran",angry,0.9
971,"sekiranya ig dipegang sm cowonya, jangan followan sm sec acc aing karna gada cowo di sec acc aku dan tbtb cowo tmn w ngeliat gtu aja suka ngelike ngelike. ga banget",angry,0.89
972,"ga suka banget org sembarangan naik ke kasur aku pas keringetan, atau kakinya ga dibersihin dulu padahal abis dri luar trus berpasir, naikin kaki seenaknya, badan lengket sama keringet. kamar aku apek kan jdinya aku mesti bersihin ulang. dilarang ke kamar, dibilangnya rahasia2an",angry,0.93
973,"aku dulu ada temen sekolah gayanya selangit, sok kaya banget, mana julid lagi, suka berantem dan ngerasa punya kekuasaan, eh ternyata minta keringanan biaya karena dia miskin trus temen kuliah dia orang kaya punya warnet, minta keringanan dr kampus buat bayar sampe 3 semester",angry,0.87
974,"tapi kami suka kpop itu tulus kak. gak ngerasa juga dimanfaatin. karya mereka juga bagus kok. menurut kakak, karya mereka ga bermanfaat? mau aku kasih liat penghargaan2 yg mereka trima? julid amat sih. gitu banget bencinya sampai dibentur2in ama even motogp. aneh.",angry,0.93
975,kenapa si suka banget memaksakan kehendak -.-,angry,0.99
976,makanya orang tuh kok ya aneh banget. suka overthinking gak jelas trus ngajak2 orang lain. jadi heboh sendiri,angry,0.85
977,"gemini plin plan banget, suka bgt ngerubah rencana seenaknya. mn orgnya ga jls",angry,1.0
978,demi tuhan risih banget. twitter ada fitur kayak gini di timeline ih. udh di silang masih suka muncuull,angry,0.88
979,"kenapa ya orang2 kok suka banget cari2 kesalahannya aespa? iri bilang sahabat. damn, kalo gasuka mending gausa diliat.",angry,0.94
980,"nah. selingkuh tuh penyakit. ga ada kata khilap. lo selingkuh kan dalam keadaan sadar. udh salah masih aja bela diri. please, jgn suka jajan diluar atau sex sembarangan, lo sakit yg kena orang rumah lo anjg mbak2nya kuat2 banget ya allah semoga selalu sehat mbak",angry,0.95
981,"gue ga suka banget dichat terus.. ya kalo pembahasan lo bagus dan menarik bakal gue tanggepin, masalahnya pembahasan lo tuh itu"" aja dan hal"" yang lo bahas tuh hal"" yang menurut gue sensitif.. jadi ya gue males balas chat lo",angry,0.93
982,sampe gapaham apa salah aespa ke bts sampe fans bts alias army suka banget ngehate aespa. kayak yaampun fandom idol umur 7 tahun lebih hobi banget ngrusuh fandom idol yg baru umur setahun. kenapa ya army2 ini toxic bgt. terutama western/non asian army. asli sih rese bgt.,angry,0.97
983,"dihh ga sopan bgt, ini kurir kurir anteraja sama jnt pada ga bener apa gimana sih, suka banget bobo paket orang buat hal yg ga berguna gitu",angry,0.92
984,bagus untuk menampol sisi patriaki warga sokor yang sangat super duper kuat paling suka adegan mereka makan malem bareng kantor terus si ketuanya (yang mana cowo) bisa seenak jidat makan dimeja karyawan cewe (jiwoo) terus berantakan banget lagi makannya sumpah itu adegan,angry,0.89
985,"setuju, makanya kadang gue suka gedeg sama yg pro sm banget kayak anjir mereka aja urus artisnya ga becus",angry,0.98
986,"pasti guru gue dah ini, kaku banget sih gue kesel",angry,0.98
987,ya terus kenapa? ga suka? iri? dengki? ribet banget yak ada orang asing bikin konten karena lagi pramusim di indo terus dikomenin nyari engagement? terus harus ngapain? ga posting kegiatan pramusim mereka? manusia ribet anjir.,angry,0.89
988,"tiap sabtu kebangunin anjir grgr dibelakang rumah ada ibu ibu suka senam dan pake speakernya tuh gede banget anjing suaranya kaya bener bener gede banget gila, udh pernah ditegur sebenernya tp diulang lg gt kaya minggu depannya pasti gede lagi si suaranya :) bgst pen tdr aku",angry,0.88
989,"males banget, nge-chat w kalo cuma mau nirun, huh. di sekolah aja lagaknya kayak orang pinter, tapi suka nirun aing",angry,0.91
990,"kesel banget sumpah, gimana ya. bisa2nya ngomong ""nanti kamu suka sama yang lain, aku ditinggal"", punten, kamu suka sama aku aja aku udah keong2 (hah?), kamu ngeliat ke arah aku aja aku udah beruntung banget loh, ""aku ditinggal"" gue ninggalin lu kemana sih? tukang martabak?",angry,0.98
991,suka banget ikut campur nih kanye pdhal ga ada yg nyebut nama anjir.. dahlah problematik emng,angry,0.98
992,"hadeeh kadang gue bingung banget yah sama cewe suka update2 kalo dia jadi selingkuhan gini tuh ceritanya merasa cantik banget apa gimana sih? jahat tauu beginii.. udah jahat diumbar2 jahatnya, gue aja yg cewek ilfeel liatnya, huftt.",angry,0.99
993,jends ngasih info kadang suka banget dadakan deh kampus bikin keki,angry,0.88
994,"pernah, pas ngomong sama twice, aku bilang temen ku suka sama exo ke nayeon, goblog banget anjing, exo mah ke grup exo ya bukan ke twice, mana nayeon mangut mangut kayak bangga",angry,0.95
995,"alasan utama nya adalah karna sangat"" melokaal (dari yg dia cover lagu cinta luar biasa, trs kalo ngomong indo tuh udah kek orang indo. bener"" yang kek ni orang beneran orang korea gaasih?! terus juga warna kulit nya yang aku suka. beda aja gtu dia sama temen""nya yg lain)..",angry,0.88
996,"nenek ma mak ku nih, tapi klo ada orang lgi ngomong kadang suka ikut njawab, heran banget",angry,0.98
997,ini twitter knp sih?? suka banget nyesi ga,angry,0.97
998,"bapak sialan ya gabagus buat contoh, songong, bgst, capek bgt pasti punya bapk kek gitu. ha ha ha, arsen zeyeng, suka bgt gaya lu broo sayang arsen banyak2",angry,0.98
999,bnsatt anjirr pagi2 bikin emosi. kalo ga suka anjing kenapa pelihara?! tiap hari selalu denger anjing nangis kena pukul. emosii. mending lu kasih orang dah tu anjing daripada disiksa setiap hari. kesel yatuhan dengernya ikut sakit denger anjing nangis,angry,0.94
1000,"honestly im not the cheerful type orangnya lebih suka diem, kalo ngga penting males ngomong, ngga mau sok asik juga. but.. karena tuntutan peran, jadi sok baik deh haha lucu banget maksain buat two-faced, kesel juga sebenarnya",angry,0.96
1001,"eh buset gedeg bgt bacanya anak setan lu pada, justru ini yg gua suka dari 2gether di ceritanya bener bener nunjukin cinta ya cinta, bukan cuma tentang nafsu doang.",angry,0.97
1002,"jujur gw kesel banget banget sama si anak kecil yang suka ketawa. kek. sumber masalah, ketawanya nyebelin bgt. hhhhhhhhhhhhhh walaupun dia dr desa yg org2nya kebiasa ketawa krn keadaan, harusnya dia bisa ngatur mulutnya buat diem lah. dikutuk apa gmn si",angry,0.86
1003,suka banget menyengsarakan rakyat.. kemarin ngotot gak mau menaikan ump skrg mau atur atur iuan pekerja yg dipaksa potong dari gaji,angry,0.94
1004,"polos banget kamu v ada yang hate kamu malah kamu anggap bercanda, bener"" gak nyangka msh aja ada yng gak suka ama org baik seperti ini",angry,0.97
1005,gak suka banget kalau ujung2nya kek ngebandingin kerja keras orang. kek apa anjer masing2 orang udah kerja keras sebisa mereka,angry,0.85
1006,"suka banget ya dikasarin, giliran ditampol beneran nangess, dasar orang ga jelas",angry,0.95
1007,"sumpah benci banget kalo dibalesnya gini. iye sehat-sehat aja sekarang, merasa bersih, tapi di dalem badan nggak ada yang tau. apalagi kalo main sana-sini dan suka seks berisiko. masa sih tega celakain orang yang katanya lu sayang?",angry,0.98
1008,buat sendernya emang harus banget ya semua orang harus bisa bawa motor? kalo temen lo atau siapapun itu suka gatau diri ya lo bilangin lah,angry,0.92
1009,"lo aja kali yang terbebani aneh, kalau gamau nolongin yaudah gausah aneh banget si lu. gua aja gak terbebani malahan suka nawarin boncengan. kaaya baru bisa naik motor aj monyet.",angry,0.87
1010,kan emang anjing si simon ini tuh si chio emang da suka sama ibel tapi dia takut kalo dia jatuh cinta sama si ibel bakalan melakukan kesalahan yang sama kek si simon,angry,0.91
1011,"rame banget mall. kenapa juga semua orang pergi ke mall hari sabtu, minggu aja gitu sekalian. keluh kasper. ada lima belas menit mungkin mereka berputar cari tempat untuk parkir. ini salah satu alasan kenapa kasper kurang suka menyetir dikota, susah sekali parkirannya.",angry,0.92
1012,"makanya gak suka banget kalo udah ikut campur, krn bukan bikin benar dan menenangkan, malah campur campurin makin awur awuran. i lost respect to you since years ago. so shut up",angry,0.97
1013,"yg suka merusak tatanan, jangan di kasih ruang. wahabi lokal..",angry,0.9
1014,"kalo bocah koar koar kasih bukti aja biar diem, gua gak suka kedamaian",angry,0.98
1015,tai banget weh ini udh r9 mbak mas baru ngomong gini skrg napa kaga dr dulu2 sebelom event? pc suka disold out in tapi tau2 sedekah r1-r9 komplit ke influencer monmaap kalo jujur2an prioritas fans adalah pcnya bukan produknya ya gimana ya,angry,0.99
1016,"tak jamin kasih rumah perumnas ku satu ,jika loe bukan grombolannya mereka ?? sdh kelihatan pki pkinya di nkri nusantara siapa sih ?? ya yg suka teriak teriak pki .?? ditanya pki nya ,eehh ga ada ,diajak laporin ke polisi ya ga ada ,tapi jualan bakar bendera baru. ??",angry,0.97
1017,"amit amit banget gila kek bangga bgt tu orang suka ngentot sana sini, kek big rewards buat dia, sinting banget goblok",angry,0.91
1018,"rumit banget jadi orang ya ,kalo ga suka ya simpel keep aja sih.ribet banget hidupnya",angry,0.94
1019,"sumpah ya tuhan, maaf banget. tapi semoga dia dpt balasan karma setimpal krn ga adil dan suka nipu bawahannya.",angry,0.97
1020,"heran banget temenku knp suka ngajak gelud si anj udh tau lagi di jauhin lagi ga chat"" an ya brarti aku lagi ngehindari percecokan kok malah nyari ribut geoblog sia teh",angry,0.97
1021,"sch! ini caranya gimana yaa biar temen temen ekstrakurikuler ndak pake kelas sender buat jadi ruang pertemuan. udah ditegur sama wali kelas sender masih bebel banget, mana kalo pake tuh suka gak ijin, terus kelasnya dikotorin lagi, sama kipas gak dimatiin lagi. sebel liatnya",angry,0.94
1022,"benar banget, cancel culture dan pembenaran diri sendiri ala sjw zaman sekarang benar-benar sudah ditahap sangat menjijikan. gak beda jauh sama orang-orang di jalan, yg suka main hakim sendiri sampe bikin nyawa orang melayang",angry,0.88
1023,suka gatel banget mas kalo yg ginian ga disebarin yawloh,angry,0.99
1024,"gue liat ada yg ampe bilang ""lo ngarepin apa dari fandom ini"". kayak, anjir bgt lo! kalo sekiranya lo ga nyaman ada di satu fandom, dan lo cuma suka sama salah satu membernya, tolong deh, gausah ngaku bagian dari fandomnya.",angry,0.94
1025,oalahh jadi elu yang suka kentut diem diem?? mana bau banget lagi njink,angry,0.88
1026,gak paham gue. emang harus banget gitu gvk lo laporan kalo punya pacar ke ja3? justru itu waktu yg tepat buat ngenalin kalo te itu pacar lo goblok! gimana te gak kecewa. gue jg bakalan marah kalo jadi te. ini lg si ja3 suka sama lo hadehh,angry,0.95
1027,sinyal kenapa suka banget bapuk tibatiba y. emosi allahu,angry,0.87
1028,suka heran sama tipe manusia yg ga ada angin ga ada ujan tau2 sinis bgt tiap diajak ngobrol. tp cuma ke lu doang. ke yg lain b aja. kek why? kasih tau aja napa salah w dimana,angry,0.9
1029,"semenjak bisa belanja online, beliau suka beli barang yang sebenernya nggak dibutuhin banget, ujung ujungnya disimpe di sembarang tempat terus ibu ngedumel karna jengkel",angry,0.94
1030,"bener banget. gue exol dari jaman overdose. pas orang tau gue exol pada bingung gitu, kok gue masih suka sama mereka padahal mereka udah ga terkenal dan udah tua. pengen banget gue sumpel mulutnya pake kaos kaki. gue ga jawab karna takutnya jadi ribut, langsung gue tinggal aja.",angry,0.88
1031,"itu gatau harga akun apa gimana, suka nyesek kalo ditawar sampe jatoh banget mana upf sekarang susah",angry,0.87
1032,kelakuan temenku tuh suka kek gitu.. bilangnya otw eh tau taunya lama banget :),angry,0.92
1033,guru gue campur campur aksennya anjir.. suka kudu teliti banget liattin gerak bibirnya t_t,angry,0.91
1034,"suka kesel nggak sih, ketika udah dibantuin tuh nggak bilang makasih. bukannya gua mo ngemis ucapan terima kasih, tapi kek sifat lo kesannya jadi jelek di gua. apa susahnya ngetik makasih gituu, apalagi lo minta bantuan ama orang random ketemu di internet",angry,0.87
1035,"saat itu juga pengen gua tonjok tapi ditahan jadinya gua dorong aja ampe jatoh dari bangku kalo suka tu bilang, lah ini malah bikin 3 kelas benci gua semua manaan ada yang bikin grup ""haters nya bella"" kenapasi alay banget goblok",angry,0.88
1036,"masalah nya yang spread hate nih cowo yaallah gua keseringan ribut sama cowo mulu jaman smp tuh anjrit bolak balik masuk bk soalnya ribut mulu, pas ditanya alesan nya bangsat banget ""saya ga suka dia bercanda nya sama yang lain selain sama saya bu"" anjingg",angry,0.96
1037,jahat banget!! buat kalian laki laki tolong jgn suka jajan sembarangan dong!!,angry,0.99
1038,"dia nie ngeselin bngt ke guee suka bngt ngisenginn, tp dia tu kek andalan para guru, trs wibu (cm g banget), produktif tidak seperti sayaa, social butterfly bngt, gampang akrab sm orang",angry,0.94
1039,kasian ceweknya pasti sedih banget dia. ya kalau lo punya pcr cowok jg jangan begitu anjir.. w tau diindo tu susah ya nerima itu masih dan kadang w aja yg suka masih nutupin tp jangan nyakitin org lain demi buat nutupin kenyataan sama aja lo selingkuh woy kasian cowok sm ceweknya,angry,0.98
1040,"duh tuh anaknya nanti kelakuannya mirip gue banget deh. biar bisa dinasehatin terus tiap hari. daripada dulu suka nyindirin gue berkedok self reminder, mending langsung kasih copy pastenya aja ke mereka tuhan haha",angry,1.0
1041,"saya sering banget ini gini, apalagi sekolah suka banjir kalo ujan. kan jadi nya nyusahin",angry,0.95
1042,"kanye nih napa suka banget nyenggol yang lagi naik deh, toxic anj",angry,0.97
1043,mereka suka playvic gitu knpsi sumpah pajamas kesel banget. nanti merembet kemana mana ya kayak semalem ngebela th dibilang solo stan kan anehh,angry,0.87
1044,"gua emang orangnya suka becanda, tapi bukan berarti ga bisa serius. please be smart, ga semuanya bisa lo candain. jangan biasain bikin orang risih dengan sikap lo, jadi sekarang gua minta tolong please lo semua uncrush gua tolong banget. gua ga nyaman sori",angry,0.9
1045,"brisik banget, ga suka.",angry,0.92
1046,"buset! parah banget ya logika ibu ini, ini keluarga ibu yang jadi karyawan ga ada yang merasa keberatan ya, dengan kebijakan timpang ini. u cek deh lapangan, banyak penganggur, pesangon dari perusahaan suka ga jelas, ngomongi jkp, ga semua orang juga mau di jkp ampe kesel w",angry,0.94
1047,"soalnya tiap ketemu yg ngaku suka banget sama muse, kalo ditanya: ""oh suka muse, suka lagu muse apa?"" ""supermassive dan starlight mas"" pergi! jauh2 kamu!",angry,0.92
1048,namanya plot hilangnya maksa.. ntah mrk mau akhiri dgn seolah2 ketemu aja atau dibuat hilang tbw sampe yg punya raga balik.. cuma kmrn aja ku nonton udh kesel bawaannya..gak suka banget sama plot hilang ini..,angry,0.89
1049,"di rl sering banget nemu model cwo begini, bucin sma istrinya pamer ke mesraan di sosmed jadi udh biasa liat cwo model begini, tau"" pny simpenan dan suka check in sm cwe lain makanya smpe skrg susah banget percaya sma namanya laki-laki apa masih ada cwo yg tulus dan setia",angry,0.94
1050,"hadeuh kalo inget bulan ini bikin sakit ati banget anjeng, udah deket lama aku nya udah suka eh malah ujung ujungnya sama adek kelasnya kan anjenk kesel sendiri jadinya",angry,0.93
1051,sekarang lagi jaman yang ga suka film/drama korea juga nghype film/drama kor ya ntar review jelek halah kalau emang udah ga into mah mau sebagus apapun bakalan ga masuk -_- heran deh pada seneng banget review jelek ke sesuatu yang lg rame dikira keren banget apa ya -_-,angry,0.93
1052,"hh benci banget sama akgae, akun yg suka bahas 1 member aja trus suka berantem sama akun lain udah aku bub berantem gitu lama lama bakal saling jelekin member lain trus berubah jadi akgae aku maless mutualan sm ornag kaya gituu",angry,0.87
1053,suka banget ngetease jay. sadar diri wooyy !!!,angry,0.88
1054,hahaha betul sekali aku aja susah kalo udah gak suka sama orang benci nya sampai lama banget,angry,0.96
1055,"tapi lu selalu ngasih argumen seakan lu doang yg sakit anjing. kalo emang lo ga suka sama gue fine tinggalin gue dari awal, dan ga perlu ngerespon lebih dri itu, justru lo ngerespon seakan yg bakal kejadi nyata banget.",angry,0.95
1056,"coba deh, sehari aja puasa ngegosip, nggak ngomongin orang. kira-kira bisa nggak?",angry,0.86
1057,"emang kenapa saya cinta bendera merah putih saya cinta negara indonesia, situ nggak suka bendera indonesia. trus mau merongrong ogah kerja atau gimana? kalau berani ngomong sini gak usah sembunyi, pengecut",angry,0.88
1058,bisnis haram nih artis indonesia yang suka banget bekerja dg uang haram hindari dan jauhi bisnisnya karaoke dll.. biadab banget mengajak masyarakat kpd hal2 yg negatif jauhi mereka semuanya para artis yg menjerumuskanmu keneraka jahanam naudzubillah mindhaliq .,angry,0.94
1059,weekend nya ga santai banyak hapalan huft,angry,0.96
1060,"dulu untuk jadi ustadz di pesantren, ya harus sudah mumpuni dalam bidangnya. bukan siapa saja boleh gak kayak sekarang banyak sesat!!",angry,0.88
1061,ya sukurin aja biar gk nyinyir nyebar fitnah. biasa aja keles.,angry,0.89
1062,"jangan cuma beraninya nge dm doank buktikan dengan ngajak kita ngeroom..jd bisa di buktikan semuanya,tidak semata bualan,atau halu saja..",angry,0.92
1063,"nikmatin -_- saya ada 2 yg asli jarang ada kabar yg 1 lagi malah kadang jadi temen, jadi musuh, jadi temen mabuck, dll -_- kesel",angry,0.9
1064,ada yang mulai sebar bacot!! pesan prabowo ke seluruh kader gerindra: jangan jauh-jauh dari ulama!,angry,0.99
1065,"sangat, sangat kesal dan merasa tidak enak. aku biasa memperkenalkan suasana keseluruhan album melalui highlight clip untuk setiap album.. tujuannya adalah untuk memaksimalkan dan meningkatkan karakteristik musik secara visual melalui video dengan kualitas terbaik.",angry,0.96
1066,"yang sedang saya alami. kemaren saya ada hubungan sama seseorang. 3th aku sama dia. kita udah sama sama dewasa. saya berusaha (finansial). tpi dia malah santai kyk gk mikir gimana caranya. saya sabar, telaten sama dia. tpi dia seenaknya saja.",angry,0.87
1067,pengen mengumpat seperti biasa.,angry,0.99
1068,"serpihan apa? si anis beruntung mewarisi hasil kerja jokowi ahok jarot, dia tinggal cengar cengir gunting pita kayak badut goblok . mrt sudah jadi, busway sudah pakai bis eropa,kampung pulo sudah normal, kalijodo udah rata, coba sebut 1 aja pembangunan si anis yg berguna..?",angry,0.91
1069,kan arteria dahlan cuman wakil rakyat toh.. lah terus rakyat yg punya hak di abaikan begitu saja .. kalau begitu tidak usah menjadi wakil rakyat biar rakyat sendiri yg bertindak dan menindak lanjuti setiap kejahatan dan setiap ada kasus2 ampe kesel bacanya,angry,0.94
1070,lebih bagus elo murtad dari pada ngaku islam tapi bikin sampah di islam.malah ngotor ngotorin saja,angry,0.94
1071,"hebatnya indonesia .. gak cuman pemilunya saja, tes covid pun juga begitu !?!?",angry,0.86
1072,orang normal sarapan nya makanan lari nya ke perut lah kita pagi pagi sarapa bikin kepala kejang !!,angry,0.87
1073,"ujunga""nya jadi bangkai saja buanga"" duit aja gak guna dan gak ada satupun proyek yang sukses kesallll mau tampol",angry,0.92
1074,"emosy dah sm cowo yg suka nanya begini, mangnya semua cewe cuma mau naik mobil?! kalo misal dulu pernah punya pengalaman begitu sm cewe ya berarti emang cewe itu bukan target pasar lo soalnya cewe jg biasa kemana2 naik ojol broo",angry,0.99
1075,"itu orang muka badak,.. merusak nama pp saja..",angry,0.91
1076,"kalo biasa dengerin apa kata pastor, jangan ngomongin al-qur'an. lompat pagar namanya. jangan jadi begolah",angry,0.92
1077,"iyaa ,, sebagai lulusan fh malunya luar biasa dan sangat tidak tau diri, menyedihkn",angry,0.9
1078,"laah yg bicara soal hoax siapa bos? hoax itu tentu aturan hukumnya. disini bahas kelakuan buzzerp yg seluruh berbeda pandangan politik lalu disebut kadrun. kalau soal hoax ya pasti pidana lah, jgn kau katakan org kritik ke pemerintah itu hanya menebarkan hoax saja. pea",angry,0.93
1079,"gue yg mutusin emang, tp yg pamit rest emg siapa tau2nya gue dpt kabar begitu. disuruh keep it private dikira gue gatau apa kalo dia juga nyindir gue mulu, diem diem asu apanya yg diem, kalo ada main qrt gitu jadi ajang buat jelek2in gue",angry,0.9
1080,"fuck masa lalu,, gila pagi2 uda di ungkit2 saja si kupret yg di anggap baik,,",angry,0.88
1081,makin hari makin tai palat haha. awal2 saja tu lai jgn tah mun nda beduit nda ko bguna tu bangsatt haha,angry,0.95
1082,santai aja bg. aku nanya karna emg gatau. di caption fungsi nya utk mengurangi kelelahan. aku baru tau. cara kerja nya yang gatau. santai ya bg. jgn gampang goblok goblokin orang goblok,angry,0.9
1083,"orang cuma bisa nya ngeliati hidup orang lain saja, tp mereka nggak pernah ngeliati hidup mereka sendiri aja belum bener!",angry,1.0
1084,gue heran knp masih pada bilang funny dan gatau deh apa normal dsana kah? pdahal jls2 salah satunya kliatan ga nyaman. dan sialan bgt pake ada yg bahas masa lalu m. oh dasar haters dan fans si onoh kan lu. bangke pagi2 bikin naik darah aja.,angry,0.98
1085,"dichat dia sampe 20 pesan, ternyata tadi gue mimpi bangstt",angry,0.96
1086,"lah anjir kalo udah biasa manggil adik mah adik aja kali, gajelas lu anjir. emang lu aja aneh masih cari pembelaan",angry,0.87
1087,"bubarkan saja ..ga ono manfaate, opo kontribusi gawe negara ?? Edan",angry,0.87
1088,"gk usah mewek udah biasa gue liat kpop keluar masuk.gk usah lebay gk jadi lockey lagi.karna bias lu out.dalam dunia kpop keluar masuk itu hal biasa.kalau agensi dan denise tidak sejalan beda kemauan mau apa lu.mau maksa denise stay.mau maksa vine cegah denise ttap stay gk bisa, bikin jengkeeeelll",angry,0.96
1089,pasti profesor goblok satu ini baru saja ngelonte mkanya pemikirannya jadi seger gini. bagi org kafir ngelonte itu ibadah yg utama,angry,0.94
1090,cowo kek gini alasan nya udh biasa di dengar,angry,0.94
1091,"nama satu orang tercemar saja melapor ke polisi minta diusut tuntas..lingkungan hidup dgn biota jutaan makhluk hidup saja, tak satupun ada yg lapor ke pak polisi ..berarti biota lingkungan ini lebih bisa mawas diri koreksi diri..!! alloh lebih menyukai hamba pemaaf ..!",angry,0.87
1092,"anjing.. korupsi 2,1m cuma 1thn 4bln..apa kabar yg maling ayam karna lapar..karna hak nya di makan oleh pejabata"" macam manusia ini.. indonesia oh indonesia..miris bgt negara aing",angry,0.97
1093,wehh bngt sedih bngt anjing w campur kesel gegara muka lo kayak orang bego,angry,0.91
1094,akibat?? pernah liat plat b bawa kendaraan di luar jakarta? ugal2an padahal jalanan sepi kayak dikejer setan bego gitu,angry,0.91
1095,"tapi keselnya sih ya itu, ada pertanyaan dari base yang mewakili gue banget, tapi kok sepi banget, gue udah nungguin padal",angry,0.96
1096,wes kesel + kecewa,angry,0.98
1097,"di komplek aku jg gini. kakek jual lap pel memelas cerita sedih, aku kasian dong aku beli dgn harga mahal, eh besoknya dia gt lagi ngarang bgt jd aku marahin trs kabur. ada nenek pengemis gt jg tiap hari aku kasi duit kasi makanan, ketemu di indoapril lg nuker duit 1,5jt/hari",angry,0.91
1098,ini boleh ga si aku kecewa or marah sama dia haha.. cuma krn aku beli acrylic frame trs majang pc bareng sama polaroid ortuku dia blg gini apa aku doang yg sensi nih ya dikira nge kpop bikin lupa semua hal? bahkan ortu sendiri? lo bikin gw makin ga mau kenal spesies cowok dasar idiot,angry,0.89
1099,"aku jengkelnya ke semuanya sih, mbulet kyk benang kusut btw udah selesai bacanya? kalau udah no spoiler please",angry,0.94
1100,"sayang nya gue kalo bucin ya mau secakep apapun cowo lain tetep liatnya elo hahah sedih bgt jd cewe ye, knp bucin tolol semua",angry,0.91
1101,"pagi pagi udah emosi baca au kesel, gak blh ada yg bikin bian kecewa atau sedih ih",angry,0.89
1102,"kalo ketemu orang dan dia keliatan murung, coba tanya dia fans mu bukan? mu kalahh cukk !!",angry,0.98
1103,"gue pagi ini kecewa bgt sama gojek, pertama kode voucher sama sekali ga bisa di claim. kedua alamat yg biasa gue gunain buat balik masa dititikin jauh bgt ke jakarta barat wkwkw gila gosend yg harusnya ga sampe 50rb jd diatas 60rb",angry,0.96
1104,dah lah ak kecewa!!,angry,0.9
1105,yg ngmg mana cita rasa budaya indonesianya? sedih gue liat org nge - gass tp klo suruh ngaca dianya kaga demen,angry,0.93
1106,kecewa w bangsat,angry,0.98
1107,"aq dh 5 kali approach..smua ke reject..sedih siot..siap depress..tu la nk ckp takut nk approach dulu x la tp effect after approach tu yg prob..klau diterima ok..lau x sedih,malu,marah semua ad..and its effect ur life..kdg rasa penat dah nk hadap",angry,0.91
1108,sepi conge!!!,angry,0.91
1109,"baru mau sedih kenapa close, endingnya bikin emosi. semoga hari lo senin terus",angry,0.93
1110,"tolong buat siapapun yg memang udah ""gabisa lagi jadi lockey"" karena masalah denis gpp gue mengerti, tapi plis bgt jgn mengajak atau bikin kompor kayak org goblok bikin tweet dgn mengajak yg lain buat ikutan sebab yg sedih bukan hanya kamu tapi semua lockey, bikin kesel aja kayak ampas. makasih buat lockey yg masih bertahan:)",angry,0.89
1111,"anjing nih eps 3 sedih banget bangsat gue nangis ampe idung mampet, jadi kesel ah",angry,0.91
1112,"anj j1min aing udah mau sedih, sialan lu ngetiknya kek gi mati aja, gk jlas lu ji udah lah gi gak usah d kasih jatah 5 bulan aja",angry,0.9
1113,rame apa sepi nih!?? kasih info yg jelas napa,angry,0.88
1114,"suka heran sama orang yang udah ngasu tp ga ada effort sama sekali buat mastiin gue sakit ati gak, gue kecewa gak.maksudnyaa lo tuh sadar gasih kalo habis ngejahatin gue, emang repot kalo kita ga pernah ngambek sekalinya ngambek dianggep yaudah, mungkin ga ngambek beneran!!",angry,1.0
1115,"mulutnya itu lho yaampun. aku diusir gara"" main ke homeparty mereka yang kebetulan cuma 4 orang doang, ku kira mah sepi kasian gitu, jadi aku ikut gabung, eh pas gabung malah dikata""in",angry,0.89
1116,buat kali ini gw ga ngerti sama jalan pikira lo gar yang jelas jelas vara lagi hamil goblokk dan satu lagi buat lo zara gw tau lo kaget kecewa sama kk lo tpi dia lagi hamil anjritt dan lo gatau alesan kenapa kk lo ngelakuin itu semua anjing emosi bngt gw,angry,0.93
1117,"kebiasaan banget selalu bawa member lain, selalu ngebanding bandingin. dikira member lain gak sedih juga apa?",angry,0.87
1118,sumpah sih makin marah dan kecewa sama daddy !,angry,0.96
1119,"bangke ptmt, kelas gue jadi sepi banget anjir",angry,0.88
1120,anj anj kesel kecewa bgt sama diri sendiri heeuh,angry,0.93
1121,"hbis nntn layangan putus bareng murid2nya ya bund , jangan sedih yaa, mas aris emg gitu, suka gk tau diri, padahal udh dpetin cewek yg bak ratu",angry,0.89
1122,ora editan kui ancene wes kene lg sedih malah dsenggol,angry,0.98
1123,"terlalu cantik emak jd buzzer, biasanya kusam, kusut dan norak, mana gk jelas lagi",angry,0.9
1124,"ihh sama punya ku juga udh 2 hari masa tertunda terus kesel. tolong dong min ditindaklanjuti, kecewa sih",angry,0.87
1125,"dan yg emng belom tau banyak lah tentang dunia ini gitu. tapi gw ngerasa sedih dan marah aja, gatau deh rasanya campur aduk. ini aja ngetik sambil nangisssss, gatau tapi nyesekk bgtt rasanya. apalagi kalo ada yg hate² komen gitu ke win, gw bnr² gasuka gw sakit hati anjj!!.",angry,0.95
1126,"aa kesel bgt anying. dia sudah di bandaraa, gift gue blm siap. ya allah sedih bgt gue uda gbsa nepatin janji buat meet up dari desember trs harini gbsa nganter dia ke bandara, ngasih gift jga engga!!",angry,0.94
